Date,Day,Month,Year,Holiday Name,Type
2023-01-26,Thursday,January,2023,Republic Day,National
2023-02-18,Saturday,February,2023,Maha Shivaratri,National
2023-04-04,Tuesday,April,2023,Mahavir Jayanti,National
2023-04-07,Friday,April,2023,Good Friday,National
2023-04-22,Saturday,April,2023,Eid al-Fitr,National
2023-05-05,Friday,May,2023,Buddha Purnima,National
2023-06-29,Thursday,June,2023,Eid al-Adha,National
2023-07-29,Saturday,July,2023,Ashura,National
2023-08-15,Tuesday,August,2023,Independence Day,National
2023-09-07,Thursday,September,2023,Janmashtami,National
2023-09-28,Thursday,September,2023,Prophet's Birthday,National
2023-10-02,Monday,October,2023,Gandhi Jayanti,National
2023-10-24,Tuesday,October,2023,Dussehra,National
2023-11-12,Sunday,November,2023,Diwali,National
2023-11-27,Monday,November,2023,Guru Nanak Jayanti,National
2023-12-25,Monday,December,2023,Christmas,National
2024-01-26,Friday,January,2024,Republic Day,National
2024-03-08,Friday,March,2024,Maha Shivaratri,National
2024-03-29,Friday,March,2024,Good Friday,National
2024-04-11,Thursday,April,2024,Eid al-Fitr,National
2024-04-21,Sunday,April,2024,Mahavir Jayanti,National
2024-05-23,Thursday,May,2024,Buddha Purnima,National
2024-06-17,Monday,June,2024,Eid al-Adha,National
2024-07-17,Wednesday,July,2024,Ashura,National
2024-08-15,Thursday,August,2024,Independence Day,National
2024-08-26,Monday,August,2024,Janmashtami,National
2024-09-16,Monday,September,2024,Prophet's Birthday,National
2024-10-02,Wednesday,October,2024,Gandhi Jayanti,National
2024-10-12,Saturday,October,2024,Dussehra,National
2024-10-31,Thursday,October,2024,Diwali,National
2024-11-15,Friday,November,2024,Guru Nanak Jayanti,National
2024-12-25,Wednesday,December,2024,Christmas,National
2025-01-26,Sunday,January,2025,Republic Day,National
2025-02-26,Wednesday,February,2025,Maha Shivaratri,National
2025-03-31,Monday,March,2025,Eid al-Fitr,National
2025-04-10,Thursday,April,2025,Mahavir Jayanti,National
2025-04-18,Friday,April,2025,Good Friday,National
2025-05-12,Monday,May,2025,Buddha Purnima,National
2025-06-07,Saturday,June,2025,Eid al-Adha,National
2025-07-06,Sunday,July,2025,Ashura,National
2025-08-15,Friday,August,2025,Independence Day,National
2025-08-16,Saturday,August,2025,Janmashtami,National
2025-09-05,Friday,September,2025,Prophet's Birthday,National
2025-10-02,Thursday,October,2025,Dussehra; Gandhi Jayanti,National
2025-10-20,Monday,October,2025,Diwali,National
2025-11-05,Wednesday,November,2025,Guru Nanak Jayanti,National
2025-12-25,Thursday,December,2025,Christmas,National
