Date,Day,Month,Year,Holiday Name,Type
2012-08-15,Wednesday,August,2012,Independence Day,National
2012-08-20,Monday,August,2012,Id-ul-Fitr,National
2012-10-02,Tuesday,October,2012,Gandhi Jayanti,National
2012-10-24,Wednesday,October,2012,Dussehra,National
2012-10-27,Saturday,October,2012,Bakrid,National
2012-11-13,Tuesday,November,2012,Diwali,National
2012-11-25,Sunday,November,2012,Muharram,National
2012-11-28,Wednesday,November,2012,Guru Nanak Jayanti,National
2012-12-25,Tuesday,December,2012,Christmas,National
2013-01-25,Friday,January,2013,Milad-un-Nabi,National
2013-01-26,Saturday,January,2013,Republic Day,National
2013-03-10,Sunday,March,2013,Maha Shivaratri,National
2013-03-29,Friday,March,2013,Good Friday,National
2013-04-24,Wednesday,April,2013,Mahavir Jayanti,National
2013-05-25,Saturday,May,2013,Buddha Purnima,National
2013-08-08,Thursday,August,2013,Id-ul-Fitr,National
2013-08-15,Thursday,August,2013,Independence Day,National
2013-08-28,Wednesday,August,2013,Janmashtami,National
2013-10-02,Wednesday,October,2013,Gandhi Jayanti,National
2013-10-13,Sunday,October,2013,Dussehra,National
2013-10-16,Wednesday,October,2013,Bakrid,National
2013-11-03,Sunday,November,2013,Diwali,National
2013-11-14,Thursday,November,2013,Muharram,National
2013-11-17,Sunday,November,2013,Guru Nanak Jayanti,National
2013-12-25,Wednesday,December,2013,Christmas,National
2014-01-14,Tuesday,January,2014,Milad-un-Nabi,National
2014-01-26,Sunday,January,2014,Republic Day,National
2014-02-27,Thursday,February,2014,Maha Shivaratri,National
2014-04-13,Sunday,April,2014,Mahavir Jayanti,National
2014-04-18,Friday,April,2014,Good Friday,National
2014-05-14,Wednesday,May,2014,Buddha Purnima,National
2014-07-29,Tuesday,July,2014,Id-ul-Fitr,National
2014-08-15,Friday,August,2014,Independence Day,National
2014-08-18,Monday,August,2014,Janmashtami,National
2014-10-02,Thursday,October,2014,Gandhi Jayanti,National
2014-10-03,Friday,October,2014,Dussehra,National
2014-10-06,Monday,October,2014,Bakrid,National
2014-10-23,Thursday,October,2014,Diwali,National
2014-11-04,Tuesday,November,2014,Muharram,National
2014-11-06,Thursday,November,2014,Guru Nanak Jayanti,National
2014-12-25,Thursday,December,2014,Christmas,National
2015-01-04,Sunday,January,2015,Milad-un-Nabi,National
2015-01-26,Monday,January,2015,Republic Day,National
2015-02-17,Tuesday,February,2015,Maha Shivaratri,National
2015-04-02,Thursday,April,2015,Mahavir Jayanti,National
2015-04-03,Friday,April,2015,Good Friday,National
2015-05-04,Monday,May,2015,Buddha Purnima,National
2015-07-18,Saturday,July,2015,Id-ul-Fitr,National
2015-08-15,Saturday,August,2015,Independence Day,National
2015-09-05,Saturday,September,2015,Janmashtami,National
2015-09-25,Friday,September,2015,Bakrid,National
2015-10-02,Friday,October,2015,Gandhi Jayanti,National
2015-10-22,Thursday,October,2015,Dussehra,National
2015-10-24,Saturday,October,2015,Muharram,National
2015-11-11,Wednesday,November,2015,Diwali,National
2015-11-25,Wednesday,November,2015,Guru Nanak Jayanti,National
2015-12-25,Friday,December,2015,Christmas; Milad-un-Nabi,National
2016-01-26,Tuesday,January,2016,Republic Day,National
2016-03-07,Monday,March,2016,Maha Shivaratri,National
2016-03-25,Friday,March,2016,Good Friday,National
2016-04-20,Wednesday,April,2016,Mahavir Jayanti,National
2016-05-21,Saturday,May,2016,Buddha Purnima,National
2016-07-07,Thursday,July,2016,Id-ul-Fitr,National
2016-08-15,Monday,August,2016,Independence Day,National
2016-08-25,Thursday,August,2016,Janmashtami,National
2016-09-13,Tuesday,September,2016,Bakrid,National
2016-10-02,Sunday,October,2016,Gandhi Jayanti,National
2016-10-11,Tuesday,October,2016,Dussehra,National
2016-10-12,Wednesday,October,2016,Muharram,National
2016-10-30,Sunday,October,2016,Diwali,National
2016-11-14,Monday,November,2016,Guru Nanak Jayanti,National
2016-12-13,Tuesday,December,2016,Milad-un-Nabi,National
2016-12-25,Sunday,December,2016,Christmas,National
2017-01-26,Thursday,January,2017,Republic Day,National
2017-02-24,Friday,February,2017,Maha Shivaratri,National
2017-04-09,Sunday,April,2017,Mahavir Jayanti,National
2017-04-14,Friday,April,2017,Good Friday,National
2017-05-10,Wednesday,May,2017,Buddha Purnima,National
2017-06-26,Monday,June,2017,Id-ul-Fitr,National
2017-08-15,Tuesday,August,2017,Independence Day; Janmashtami,National
2017-09-02,Saturday,September,2017,Bakrid,National
2017-09-30,Saturday,September,2017,Dussehra,National
2017-10-01,Sunday,October,2017,Muharram,National
2017-10-02,Monday,October,2017,Gandhi Jayanti,National
2017-10-19,Thursday,October,2017,Diwali,National
2017-11-04,Saturday,November,2017,Guru Nanak Jayanti,National
2017-12-02,Saturday,December,2017,Milad-un-Nabi,National
2017-12-25,Monday,December,2017,Christmas,National
2018-01-26,Friday,January,2018,Republic Day,National
2018-02-13,Tuesday,February,2018,Maha Shivaratri,National
2018-03-29,Thursday,March,2018,Mahavir Jayanti,National
2018-03-30,Friday,March,2018,Good Friday,National
2018-04-30,Monday,April,2018,Buddha Purnima,National
2018-06-16,Saturday,June,2018,Id-ul-Fitr,National
2018-08-15,Wednesday,August,2018,Independence Day,National
2018-08-22,Wednesday,August,2018,Bakrid,National
2018-09-03,Monday,September,2018,Janmashtami,National
2018-09-21,Friday,September,2018,Muharram,National
2018-10-02,Tuesday,October,2018,Gandhi Jayanti,National
2018-10-19,Friday,October,2018,Dussehra,National
2018-11-07,Wednesday,November,2018,Diwali,National
2018-11-21,Wednesday,November,2018,Milad-un-Nabi,National
2018-11-23,Friday,November,2018,Guru Nanak Jayanti,National
2018-12-25,Tuesday,December,2018,Christmas,National
2019-01-26,Saturday,January,2019,Republic Day,National
2019-03-04,Monday,March,2019,Maha Shivaratri,National
2019-04-17,Wednesday,April,2019,Mahavir Jayanti,National
2019-04-19,Friday,April,2019,Good Friday,National
2019-05-18,Saturday,May,2019,Buddha Purnima,National
2019-06-05,Wednesday,June,2019,Id-ul-Fitr,National
2019-08-12,Monday,August,2019,Bakrid,National
2019-08-15,Thursday,August,2019,Independence Day,National
2019-08-24,Saturday,August,2019,Janmashtami,National
2019-09-10,Tuesday,September,2019,Muharram,National
2019-10-02,Wednesday,October,2019,Gandhi Jayanti,National
2019-10-08,Tuesday,October,2019,Dussehra,National
2019-10-27,Sunday,October,2019,Diwali,National
2019-11-10,Sunday,November,2019,Milad-un-Nabi,National
2019-11-12,Tuesday,November,2019,Guru Nanak Jayanti,National
2019-12-25,Wednesday,December,2019,Christmas,National
2020-01-26,Sunday,January,2020,Republic Day,National
2020-02-21,Friday,February,2020,Maha Shivaratri,National
2020-04-06,Monday,April,2020,Mahavir Jayanti,National
2020-04-10,Friday,April,2020,Good Friday,National
2020-05-07,Thursday,May,2020,Buddha Purnima,National
2020-05-25,Monday,May,2020,Id-ul-Fitr,National
2020-08-01,Saturday,August,2020,Bakrid,National
2020-08-12,Wednesday,August,2020,Janmashtami,National
2020-08-15,Saturday,August,2020,Independence Day,National
2020-08-30,Sunday,August,2020,Muharram,National
2020-10-02,Friday,October,2020,Gandhi Jayanti,National
2020-10-25,Sunday,October,2020,Dussehra,National
2020-10-30,Friday,October,2020,Milad-un-Nabi,National
2020-11-14,Saturday,November,2020,Diwali,National
2020-11-30,Monday,November,2020,Guru Nanak Jayanti,National
2020-12-25,Friday,December,2020,Christmas,National
2021-01-26,Tuesday,January,2021,Republic Day,National
2021-03-11,Thursday,March,2021,Maha Shivaratri,National
2021-04-02,Friday,April,2021,Good Friday,National
2021-04-25,Sunday,April,2021,Mahavir Jayanti,National
2021-05-14,Friday,May,2021,Id-ul-Fitr,National
2021-05-26,Wednesday,May,2021,Buddha Purnima,National
2021-07-21,Wednesday,July,2021,Bakrid,National
2021-08-15,Sunday,August,2021,Independence Day,National
2021-08-20,Friday,August,2021,Muharram,National
2021-08-30,Monday,August,2021,Janmashtami,National
2021-10-02,Saturday,October,2021,Gandhi Jayanti,National
2021-10-15,Friday,October,2021,Dussehra,National
2021-10-19,Tuesday,October,2021,Milad-un-Nabi,National
2021-11-04,Thursday,November,2021,Diwali,National
2021-11-19,Friday,November,2021,Guru Nanak Jayanti,National
2021-12-25,Saturday,December,2021,Christmas,National
2022-01-26,Wednesday,January,2022,Republic Day,National
2022-03-01,Tuesday,March,2022,Maha Shivaratri,National
2022-04-14,Thursday,April,2022,Mahavir Jayanti,National
2022-04-15,Friday,April,2022,Good Friday,National
2022-05-03,Tuesday,May,2022,Id-ul-Fitr,National
2022-05-16,Monday,May,2022,Buddha Purnima,National
2022-07-10,Sunday,July,2022,Bakrid,National
2022-08-09,Tuesday,August,2022,Muharram,National
2022-08-15,Monday,August,2022,Independence Day,National
2022-08-19,Friday,August,2022,Janmashtami,National
2022-10-02,Sunday,October,2022,Gandhi Jayanti,National
2022-10-05,Wednesday,October,2022,Dussehra,National
2022-10-09,Sunday,October,2022,Milad-un-Nabi,National
2022-10-24,Monday,October,2022,Diwali,National
2022-11-08,Tuesday,November,2022,Guru Nanak Jayanti,National
2022-12-25,Sunday,December,2022,Christmas,National
2023-01-26,Thursday,January,2023,Republic Day,National
2023-02-18,Saturday,February,2023,Maha Shivaratri,National
2023-04-04,Tuesday,April,2023,Mahavir Jayanti,National
2023-04-07,Friday,April,2023,Good Friday,National
2023-04-22,Saturday,April,2023,Id-ul-Fitr,National
2023-05-05,Friday,May,2023,Buddha Purnima,National
2023-06-29,Thursday,June,2023,Bakrid,National
2023-07-29,Saturday,July,2023,Muharram,National
2023-08-15,Tuesday,August,2023,Independence Day,National
2023-09-07,Thursday,September,2023,Janmashtami,National
2023-09-28,Thursday,September,2023,Milad-un-Nabi,National
2023-10-02,Monday,October,2023,Gandhi Jayanti,National
2023-10-24,Tuesday,October,2023,Dussehra,National
2023-11-12,Sunday,November,2023,Diwali,National
2023-11-27,Monday,November,2023,Guru Nanak Jayanti,National
2023-12-25,Monday,December,2023,Christmas,National
